,Company Name,Alt Name,Website,Service Type,Coordinates,Zipcode
654,GENERAL AUTO DI SICILIANO S.R.L.,,www.generalauto-srl.it/concessionario/abarth?locationCode=00007061&bannerid=DL&source=WCOR,sales,"(10.29759, 43.883572)",55054
655,BRANDINI S.P.A.,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00007584&bannerid=DL&source=WCOR,sales,"(11.0998, 42.78207)",58100
656,BRANDINI S.P.A.,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00006821&bannerid=DL&source=WCOR,sales,"(10.935494, 43.987713)",51100
657,DOTT. MANLIO PALMUCCI S.P.A. - NUOVA 4M,,www.palmucci-fcagroup.it/concessionario/abarth?locationCode=00008258&bannerid=DL&source=WCOR,sales,"(11.065654, 43.879607)",59100
658,Dott. Manlio Palmucci S.p.A.,,www.palmucci-fcagroup.it/concessionario/abarth?locationCode=00000704&bannerid=DL&source=WCOR,sales,"(11.112023, 43.869331)",59100
659,CAR VILLAGE S.R.L.,,www.carvillage-fcagroup.it/concessionario/abarth?locationCode=00008292&bannerid=DL&source=WCOR,sales,"(11.19924, 43.83193)",50019
660,SCOTTI S.P.A.,,www.grupposcotti-fcagroup.it/concessionario/abarth?locationCode=00005403&bannerid=DL&source=WCOR,sales,"(10.9104, 43.7049)",50053
661,AUTO-SI S.R.L.,,www.autosi-fcagroup.it/concessionario/abarth?locationCode=00001231&bannerid=DL&source=WCOR,sales,"(10.486307, 43.839926)",55100
662,Brandini,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00000990&bannerid=DL&source=WCOR,sales,"(11.235795, 43.773248)",50142
663,GIUSTIAUTO S.R.L.,, ,sales,"(10.554595, 43.676007)",56021
664,Auto 2000,,www.autoduemila.it/concessionario/abarth?locationCode=00001702&bannerid=DL&source=WCOR,sales,"(10.629337, 43.62828)",56038
665,GENERAL AUTO DI SICILIANO S.R.L.,,www.generalauto-srl.it/concessionario/abarth?locationCode=00007061&bannerid=DL&source=WCOR,sales,"(10.29759, 43.883572)",55054
666,Giustiauto,,www.giustiauto-fcagroup.it/concessionario/abarth?locationCode=00002503&bannerid=DL&source=WCOR,sales,"(10.43804, 43.679609)",56121
667,C.A.A.R. S.r.l.,,www.caar-fcagroup.it/concessionario/abarth?locationCode=00002683&bannerid=DL&source=WCOR,sales,"(10.426299, 44.436026)",42035
668,Sport Rama Gruppo Autorama,,www.gruppoautorama-fcagroup.it/concessionario/abarth?locationCode=00004555&bannerid=DL&source=WCOR,sales,"(10.787234, 44.556462)",41049
669,Maresca e Fiorentino S.p.A.,,www.marescafiorentino-fcagroup.it/concessionario/abarth?locationCode=00000850&bannerid=DL&source=WCOR,sales,"(11.279301, 44.515651)",40132
670,Rossi Leauto,,www.rossileauto-fcagroup.it/concessionario/abarth?locationCode=00001597&bannerid=DL&source=WCOR,sales,"(10.09418, 44.030454)",54100
671,Gruppoghedini,,www.gruppoghedini-fcagroup.it/concessionario/abarth?locationCode=00004079&bannerid=DL&source=WCOR,sales,"(11.402264, 44.503954)",40138
672,SCOTTI  S.P.A.,,www.grupposcotti-fcagroup.it/concessionario/abarth?locationCode=00006911&bannerid=DL&source=WCOR,sales,"(10.33337, 43.576426)",57121
673,F.LLI BONACINI  S.P.A.,,www.bonacini-fcagroup.it/concessionario/abarth?locationCode=00002751&bannerid=DL&source=WCOR,sales,"(10.74901, 44.657426)",42100
674,GRUPPO AUTORAMA S.P.A.,,www.gruppoautorama-fcagroup.it/concessionario/abarth?locationCode=00007593&bannerid=DL&source=WCOR,sales,"(10.97799, 44.66392)",41122
675,LA LUNENSE S.R.L.,, ,sales,"(9.969673, 44.104187)",19038
676,BRANDINI S.P.A.,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00007584&bannerid=DL&source=WCOR,sales,"(11.0998, 42.78207)",58100
677,SIENA AUTO S.R.L.,,www.sienaauto-spa.it/concessionario/abarth?locationCode=00000157&bannerid=DL&source=WCOR,sales,"(11.429648, 43.219773)",53014
678,S.M.A.B. DI MARZUCCHI ALFREDO E C.S.N.C.,, ,sales,"(11.375273, 43.265047)",53100
679,UGO SCOTTI S.R.L.,,www.ugoscotti-fcagroup.it/concessionario/abarth?locationCode=00005448&bannerid=DL&source=WCOR,sales,"(11.338064, 43.291951)",53100
680,Centroautovt,,www.centroautovt-fcagroup.it/concessionario/abarth?locationCode=00006301&bannerid=DL&source=WCOR,sales,"(12.078869, 42.430155)",01100
681,Nuovauto S.p.A.,,www.nuovauto-fcagroup.it/concessionario/abarth?locationCode=00000922&bannerid=DL&source=WCOR,sales,"(11.555784, 43.551157)",52028
682,UGO SCOTTI S.R.L.,,www.ugoscotti-fcagroup.it/concessionario/abarth?locationCode=00005448&bannerid=DL&source=WCOR,sales,"(11.338064, 43.291951)",53100
683,S.M.A.B. DI MARZUCCHI ALFREDO E C.S.N.C.,, ,sales,"(11.375273, 43.265047)",53100
684,SIENA AUTO S.R.L.,,www.sienaauto-spa.it/concessionario/abarth?locationCode=00000157&bannerid=DL&source=WCOR,sales,"(11.429648, 43.219773)",53014
685,IVAR AUTO S.P.A.,,www.ivarauto-fcagroup.it/concessionario/abarth?locationCode=00007299&bannerid=DL&source=WCOR,sales,"(11.840193, 43.462313)",52100
686,Brandini,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00000990&bannerid=DL&source=WCOR,sales,"(11.235795, 43.773248)",50142
687,CAR VILLAGE S.R.L.,,www.carvillage-fcagroup.it/concessionario/abarth?locationCode=00008292&bannerid=DL&source=WCOR,sales,"(11.19924, 43.83193)",50019
688,SCOTTI S.P.A.,,www.grupposcotti-fcagroup.it/concessionario/abarth?locationCode=00005403&bannerid=DL&source=WCOR,sales,"(10.9104, 43.7049)",50053
689,Dott. Manlio Palmucci S.p.A.,,www.palmucci-fcagroup.it/concessionario/abarth?locationCode=00000704&bannerid=DL&source=WCOR,sales,"(11.112023, 43.869331)",59100
690,SATIRI AUTO S.P.A.,,www.satiri-fcagroup.it/concessionario/abarth?locationCode=00008098&bannerid=DL&source=WCOR,sales,"(12.220462, 43.487045)",06012
691,DOTT. MANLIO PALMUCCI S.P.A. - NUOVA 4M,,www.palmucci-fcagroup.it/concessionario/abarth?locationCode=00008258&bannerid=DL&source=WCOR,sales,"(11.065654, 43.879607)",59100
692,Auto 2000,,www.autoduemila.it/concessionario/abarth?locationCode=00001702&bannerid=DL&source=WCOR,sales,"(10.629337, 43.62828)",56038
693,CAR VILLAGE S.R.L.,,www.carvillage-fcagroup.it/concessionario/abarth?locationCode=00008292&bannerid=DL&source=WCOR,sales,"(11.19924, 43.83193)",50019
694,Dott. Manlio Palmucci S.p.A.,,www.palmucci-fcagroup.it/concessionario/abarth?locationCode=00000704&bannerid=DL&source=WCOR,sales,"(11.112023, 43.869331)",59100
695,Brandini,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00000990&bannerid=DL&source=WCOR,sales,"(11.235795, 43.773248)",50142
696,DOTT. MANLIO PALMUCCI S.P.A. - NUOVA 4M,,www.palmucci-fcagroup.it/concessionario/abarth?locationCode=00008258&bannerid=DL&source=WCOR,sales,"(11.065654, 43.879607)",59100
697,Autosica,,www.autosica-fcagroup.it/concessionario/abarth?locationCode=00001406&bannerid=DL&source=WCOR,sales,"(11.728243, 44.367417)",40026
698,BRANDINI S.P.A.,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00006821&bannerid=DL&source=WCOR,sales,"(10.935494, 43.987713)",51100
699,AUTO SICA S.R.L.,,www.autosica-fcagroup.it/concessionario/abarth?locationCode=00010119&bannerid=DL&source=WCOR,sales,"(12.041273, 44.222728)",47100
700,Gruppoghedini,,www.gruppoghedini-fcagroup.it/concessionario/abarth?locationCode=00004079&bannerid=DL&source=WCOR,sales,"(11.402264, 44.503954)",40138
701,Nuovauto S.p.A.,,www.nuovauto-fcagroup.it/concessionario/abarth?locationCode=00000922&bannerid=DL&source=WCOR,sales,"(11.555784, 43.551157)",52028
